Unnamed: 0,text_1,score
68,sampah orang buang sampah sembarang,negatif
69,sampah sungai tindak nyata,negatif
70,program edukasi daur ulang masyarakat,netral
71,sampah plastik hasil,negatif
72,regulasi sampah plastik,negatif
73,perintah serius tangan sampah kota,negatif
74,sampah sungai tindak nyata,negatif
75,program edukasi daur ulang masyarakat,netral
76,kampanye kelola sampah bagus masyarakat,positif
77,bank sampah dorong jaga lingkung,negatif
78,bank sampah dorong jaga lingkung,negatif
79,program edukasi sampah plastik manfaat,negatif
80,sosialisasi daur ulang sampah tingkat,negatif
81,sadar masyarakat sampah sosialisasi,positif
82,moga tingkat fasilitas kelola sampah lingkung,negatif
83,sampah plastik hasil,negatif
84,kampanye kelola sampah bagus masyarakat,positif
85,moga perintah konsisten kelola sampah kota,positif
86,sadar masyarakat sampah sosialisasi,positif
87,perintah serius tangan sampah kota,negatif
88,sampah plastik dominasi solusi efektif,positif
89,sosialisasi daur ulang sampah tingkat,negatif
90,regulasi sampah plastik,negatif
91,harap kelola sampah,negatif
92,sampah plastik dominasi solusi efektif,positif
93,tumpu sampah angkut bermingguminggu,netral
94,sampah sera pinggir jalan ganggu,netral
95,sampah plastik hasil,negatif
96,harap kelola sampah,negatif
97,sampah orang buang sampah sembarang,negatif
98,regulasi sampah plastik,negatif
99,senang bank sampah lingkung,positif
100,program edukasi daur ulang masyarakat,netral
101,harap kelola sampah,negatif
102,program edukasi sampah plastik manfaat,negatif
103,moga perintah konsisten kelola sampah kota,positif
104,sosialisasi daur ulang sampah tingkat,negatif
105,program edukasi daur ulang masyarakat,netral
106,tumpu sampah angkut bermingguminggu,netral
107,senang bank sampah lingkung,positif
108,moga perintah konsisten kelola sampah kota,positif
109,kampanye kelola sampah bagus masyarakat,positif
110,sadar masyarakat rendah buang sampah sembarang,positif
111,sampah orang buang sampah sembarang,negatif
112,senang bank sampah lingkung,positif
113,tumpu sampah angkut bermingguminggu,netral
114,tingkat kelola sampah kota,negatif
115,program kelola sampah makassar bagus bantu,positif
116,moga tingkat fasilitas kelola sampah lingkung,negatif
117,kelola sampah makassar tingkat,negatif
118,sampah sera pinggir jalan ganggu,netral
119,harap kelola sampah,negatif
120,kelola sampah makassar tingkat,negatif
121,sampah orang buang sampah sembarang,negatif
122,sampah plastik kelola,negatif
123,perintah serius tangan sampah kota,negatif
124,kampanye kelola sampah bagus masyarakat,positif
125,sosialisasi daur ulang sampah tingkat,negatif
126,tumpu sampah angkut bermingguminggu,netral
127,kampanye kelola sampah bagus masyarakat,positif
128,kampanye kelola sampah bagus masyarakat,positif
129,moga perintah konsisten kelola sampah kota,positif
130,sampah sungai tindak nyata,negatif
131,moga perintah konsisten kelola sampah kota,positif
132,kerjasama warga bersih lingkung kuat,positif
133,program kelola sampah efektif,positif
134,tingkat kelola sampah kota,negatif
135,ubah kelola sampah,negatif
136,program lingkung wilayah,netral
137,proses angkut sampah lambat bikin bau sedap,positif
138,program edukasi daur ulang masyarakat,netral
139,sampah mudah masyarakat,positif
140,regulasi sampah plastik,negatif
141,sampah mudah masyarakat,positif
142,sampah mudah masyarakat,positif
143,sampah plastik kelola,negatif
144,tingkat kelola sampah kota,negatif
145,proses angkut sampah lambat bikin bau sedap,positif
146,program kelola sampah efektif,positif
147,sampah orang buang sampah sembarang,negatif
148,harap kelola sampah,negatif
149,tingkat kelola sampah kota,negatif
150,tumpu sampah angkut bermingguminggu,netral
151,kampanye kelola sampah bagus masyarakat,positif
152,tumpu sampah angkut bermingguminggu,netral
153,regulasi sampah plastik,negatif
154,harap kelola sampah,negatif
155,tumpu sampah angkut bermingguminggu,netral
156,proses angkut sampah lambat bikin bau sedap,positif
157,sadar masyarakat rendah buang sampah sembarang,positif
158,harap kelola sampah,negatif
159,sampah plastik hasil,negatif
160,sampah sungai tindak nyata,negatif
161,sampah plastik kelola,negatif
162,kelola sampah makassar tingkat,negatif
163,sampah sungai tindak nyata,negatif
164,perintah serius tangan sampah kota,negatif
165,kelola sampah makassar tingkat,negatif
166,program lingkung wilayah,netral
167,sampah plastik hasil,negatif
168,harap kelola sampah,negatif
169,program kelola sampah makassar bagus bantu,positif
170,bank sampah dorong jaga lingkung,negatif
171,kerjasama warga bersih lingkung kuat,positif
172,regulasi sampah plastik,negatif
173,sampah orang buang sampah sembarang,negatif
174,kelola sampah makassar tingkat,negatif
175,harap kelola sampah,negatif
176,regulasi sampah plastik,negatif
177,kerjasama warga bersih lingkung kuat,positif
178,sadar masyarakat rendah buang sampah sembarang,positif
179,moga perintah konsisten kelola sampah kota,positif
180,sadar masyarakat sampah sosialisasi,positif
181,kerjasama warga bersih lingkung kuat,positif
182,sampah plastik hasil,negatif
183,kerjasama warga bersih lingkung kuat,positif
184,sampah mudah masyarakat,positif
185,program edukasi daur ulang masyarakat,netral
186,sampah sera pinggir jalan ganggu,netral
187,sampah orang buang sampah sembarang,negatif
188,sampah sungai tindak nyata,negatif
189,program kelola sampah efektif,positif
190,sampah orang buang sampah sembarang,negatif
191,sosialisasi daur ulang sampah tingkat,negatif
192,moga tingkat fasilitas kelola sampah lingkung,negatif
193,sadar masyarakat sampah sosialisasi,positif
194,program kelola sampah efektif,positif
195,kelola sampah makassar tingkat,negatif
196,harap kelola sampah,negatif
197,sampah plastik hasil,negatif
198,ubah kelola sampah,negatif
199,moga perintah konsisten kelola sampah kota,positif
200,sampah sera pinggir jalan ganggu,netral
201,proses angkut sampah lambat bikin bau sedap,positif
202,sampah orang buang sampah sembarang,negatif
203,sampah plastik dominasi solusi efektif,positif
204,sadar masyarakat rendah buang sampah sembarang,positif
205,kampanye kelola sampah bagus masyarakat,positif
206,sampah sungai tindak nyata,negatif
207,program edukasi sampah plastik manfaat,negatif
208,ubah kelola sampah,negatif
209,sampah sungai tindak nyata,negatif
210,regulasi sampah plastik,negatif
211,sampah sera pinggir jalan ganggu,netral
212,senang bank sampah lingkung,positif
213,moga tingkat fasilitas kelola sampah lingkung,negatif
214,bank sampah langkah edukasi,positif
215,sadar masyarakat rendah buang sampah sembarang,positif
216,perintah serius tangan sampah kota,negatif
217,program lingkung wilayah,netral
218,sadar masyarakat rendah buang sampah sembarang,positif
219,senang bank sampah lingkung,positif
220,sampah plastik dominasi solusi efektif,positif
221,sadar masyarakat sampah sosialisasi,positif
222,sampah plastik kelola,negatif
223,senang bank sampah lingkung,positif
224,sadar masyarakat sampah sosialisasi,positif
225,bank sampah langkah edukasi,positif
226,program edukasi daur ulang masyarakat,netral
227,bank sampah langkah edukasi,positif
228,program edukasi sampah plastik manfaat,negatif
229,harap kelola sampah,negatif
230,tumpu sampah angkut bermingguminggu,netral
231,sadar masyarakat sampah sosialisasi,positif
232,sampah plastik dominasi solusi efektif,positif
233,program edukasi daur ulang masyarakat,netral
234,bank sampah langkah edukasi,positif
235,moga tingkat fasilitas kelola sampah lingkung,negatif
236,program edukasi sampah plastik manfaat,negatif
237,program edukasi sampah plastik manfaat,negatif
238,sadar masyarakat rendah buang sampah sembarang,positif
239,kampanye kelola sampah bagus masyarakat,positif
240,harap kelola sampah,negatif
241,program kelola sampah makassar bagus bantu,positif
242,program kelola sampah makassar bagus bantu,positif
243,tingkat kelola sampah kota,negatif
244,moga tingkat fasilitas kelola sampah lingkung,negatif
245,program edukasi daur ulang masyarakat,netral
246,program edukasi daur ulang masyarakat,netral
247,moga perintah konsisten kelola sampah kota,positif
248,sadar masyarakat sampah sosialisasi,positif
249,sosialisasi daur ulang sampah tingkat,negatif
250,perintah serius tangan sampah kota,negatif
251,senang bank sampah lingkung,positif
252,sadar masyarakat rendah buang sampah sembarang,positif
253,program edukasi sampah plastik manfaat,negatif
254,moga tingkat fasilitas kelola sampah lingkung,negatif
255,sampah plastik hasil,negatif
256,sampah plastik hasil,negatif
257,harap kelola sampah,negatif
258,moga perintah konsisten kelola sampah kota,positif
259,harap kelola sampah,negatif
260,senang bank sampah lingkung,positif
261,bank sampah langkah edukasi,positif
262,sampah sera pinggir jalan ganggu,netral
263,proses angkut sampah lambat bikin bau sedap,positif
264,tingkat kelola sampah kota,negatif
265,ubah kelola sampah,negatif
266,sosialisasi daur ulang sampah tingkat,negatif
267,ubah kelola sampah,negatif
268,sampah sera pinggir jalan ganggu,netral
269,sampah plastik hasil,negatif
270,sampah sera pinggir jalan ganggu,netral
271,kampanye kelola sampah bagus masyarakat,positif
272,program edukasi daur ulang masyarakat,netral
273,sampah sera pinggir jalan ganggu,netral
274,bank sampah langkah edukasi,positif
275,moga tingkat fasilitas kelola sampah lingkung,negatif
276,tingkat kelola sampah kota,negatif
277,moga tingkat fasilitas kelola sampah lingkung,negatif
278,kampanye kelola sampah bagus masyarakat,positif
279,senang bank sampah lingkung,positif
280,program kelola sampah makassar bagus bantu,positif
281,sampah orang buang sampah sembarang,negatif
282,harap kelola sampah,negatif
283,regulasi sampah plastik,negatif
284,proses angkut sampah lambat bikin bau sedap,positif
285,proses angkut sampah lambat bikin bau sedap,positif
286,kerjasama warga bersih lingkung kuat,positif
287,moga perintah konsisten kelola sampah kota,positif
288,program kelola sampah efektif,positif
289,kerjasama warga bersih lingkung kuat,positif
290,sampah mudah masyarakat,positif
291,moga perintah konsisten kelola sampah kota,positif
292,moga tingkat fasilitas kelola sampah lingkung,negatif
293,sosialisasi daur ulang sampah tingkat,negatif
294,program kelola sampah efektif,positif
295,proses angkut sampah lambat bikin bau sedap,positif
296,sampah sungai tindak nyata,negatif
297,kerjasama warga bersih lingkung kuat,positif
298,sampah sera pinggir jalan ganggu,netral
299,bank sampah langkah edukasi,positif
300,perintah serius tangan sampah kota,negatif
301,sadar masyarakat sampah sosialisasi,positif
302,bank sampah dorong jaga lingkung,negatif
303,program kelola sampah makassar bagus bantu,positif
304,program edukasi sampah plastik manfaat,negatif
305,program edukasi sampah plastik manfaat,negatif
306,bank sampah langkah edukasi,positif
307,regulasi sampah plastik,negatif
308,tumpu sampah angkut bermingguminggu,netral
309,sampah plastik dominasi solusi efektif,positif
310,sadar masyarakat sampah sosialisasi,positif
311,tumpu sampah angkut bermingguminggu,netral
312,tumpu sampah angkut bermingguminggu,netral
313,sampah sera pinggir jalan ganggu,netral
314,perintah serius tangan sampah kota,negatif
315,sampah orang buang sampah sembarang,negatif
316,program lingkung wilayah,netral
317,sadar masyarakat rendah buang sampah sembarang,positif
318,sosialisasi daur ulang sampah tingkat,negatif
319,bank sampah langkah edukasi,positif
320,sampah plastik kelola,negatif
321,moga perintah konsisten kelola sampah kota,positif
322,proses angkut sampah lambat bikin bau sedap,positif
323,moga tingkat fasilitas kelola sampah lingkung,negatif
324,moga tingkat fasilitas kelola sampah lingkung,negatif
325,program kelola sampah makassar bagus bantu,positif
326,bank sampah dorong jaga lingkung,negatif
327,regulasi sampah plastik,negatif
328,ubah kelola sampah,negatif
329,senang bank sampah lingkung,positif
330,proses angkut sampah lambat bikin bau sedap,positif
331,kerjasama warga bersih lingkung kuat,positif
332,sampah mudah masyarakat,positif
333,bank sampah dorong jaga lingkung,negatif
334,kampanye kelola sampah bagus masyarakat,positif
335,sampah sungai tindak nyata,negatif
336,proses angkut sampah lambat bikin bau sedap,positif
337,tumpu sampah angkut bermingguminggu,netral
338,kampanye kelola sampah bagus masyarakat,positif
339,harap kelola sampah,negatif
340,program edukasi sampah plastik manfaat,negatif
341,harap kelola sampah,negatif
342,sosialisasi daur ulang sampah tingkat,negatif
343,sampah plastik hasil,negatif
344,harap kelola sampah,negatif
345,tingkat kelola sampah kota,negatif
346,sampah sungai tindak nyata,negatif
347,moga tingkat fasilitas kelola sampah lingkung,negatif
348,senang bank sampah lingkung,positif
349,bank sampah langkah edukasi,positif
350,program lingkung wilayah,netral
351,sadar masyarakat sampah sosialisasi,positif
352,kerjasama warga bersih lingkung kuat,positif
353,ubah kelola sampah,negatif
354,sadar masyarakat sampah sosialisasi,positif
355,kerjasama warga bersih lingkung kuat,positif
356,perintah serius tangan sampah kota,negatif
357,bank sampah langkah edukasi,positif
358,sampah sera pinggir jalan ganggu,netral
359,moga tingkat fasilitas kelola sampah lingkung,negatif
360,sosialisasi daur ulang sampah tingkat,negatif
361,proses angkut sampah lambat bikin bau sedap,positif
362,regulasi sampah plastik,negatif
363,sadar masyarakat sampah sosialisasi,positif
364,sampah plastik hasil,negatif
365,proses angkut sampah lambat bikin bau sedap,positif
366,sampah orang buang sampah sembarang,negatif
367,senang bank sampah lingkung,positif
368,bank sampah langkah edukasi,positif
369,sampah plastik kelola,negatif
370,program kelola sampah makassar bagus bantu,positif
371,sampah mudah masyarakat,positif
372,sadar masyarakat sampah sosialisasi,positif
373,regulasi sampah plastik,negatif
374,sampah plastik dominasi solusi efektif,positif
375,tingkat kelola sampah kota,negatif
376,kelola sampah makassar tingkat,negatif
377,sampah orang buang sampah sembarang,negatif
378,sampah orang buang sampah sembarang,negatif
379,sampah mudah masyarakat,positif
380,tingkat kelola sampah kota,negatif
381,sampah sera pinggir jalan ganggu,netral
382,program edukasi daur ulang masyarakat,netral
383,sampah sungai tindak nyata,negatif
384,senang bank sampah lingkung,positif
385,kerjasama warga bersih lingkung kuat,positif
386,proses angkut sampah lambat bikin bau sedap,positif
387,sampah mudah masyarakat,positif
388,sampah sera pinggir jalan ganggu,netral
389,moga tingkat fasilitas kelola sampah lingkung,negatif
390,bank sampah dorong jaga lingkung,negatif
391,sampah plastik dominasi solusi efektif,positif
392,program lingkung wilayah,netral
393,sosialisasi daur ulang sampah tingkat,negatif
394,program edukasi sampah plastik manfaat,negatif
395,bank sampah langkah edukasi,positif
396,moga perintah konsisten kelola sampah kota,positif
397,sampah orang buang sampah sembarang,negatif
398,bank sampah langkah edukasi,positif
399,bank sampah langkah edukasi,positif
400,sosialisasi daur ulang sampah tingkat,negatif
401,harap kelola sampah,negatif
402,kampanye kelola sampah bagus masyarakat,positif
403,sampah plastik hasil,negatif
404,kampanye kelola sampah bagus masyarakat,positif
405,regulasi sampah plastik,negatif
406,kelola sampah makassar tingkat,negatif
407,program edukasi sampah plastik manfaat,negatif
408,kelola sampah makassar tingkat,negatif
409,sampah mudah masyarakat,positif
410,senang bank sampah lingkung,positif
411,kampanye kelola sampah bagus masyarakat,positif
412,sampah orang buang sampah sembarang,negatif
413,program edukasi daur ulang masyarakat,netral
414,regulasi sampah plastik,negatif
415,tingkat kelola sampah kota,negatif
416,sosialisasi daur ulang sampah tingkat,negatif
417,bank sampah dorong jaga lingkung,negatif
418,perintah serius tangan sampah kota,negatif
419,sampah sungai tindak nyata,negatif
420,tumpu sampah angkut bermingguminggu,netral
421,sadar masyarakat rendah buang sampah sembarang,positif
422,program kelola sampah makassar bagus bantu,positif
423,harap kelola sampah,negatif
424,tumpu sampah angkut bermingguminggu,netral
425,program edukasi daur ulang masyarakat,netral
426,sampah orang buang sampah sembarang,negatif
427,program edukasi daur ulang masyarakat,netral
428,bank sampah dorong jaga lingkung,negatif
429,sadar masyarakat rendah buang sampah sembarang,positif
430,sampah plastik dominasi solusi efektif,positif
431,tingkat kelola sampah kota,negatif
432,sampah plastik kelola,negatif
433,sadar masyarakat rendah buang sampah sembarang,positif
434,sosialisasi daur ulang sampah tingkat,negatif
435,moga perintah konsisten kelola sampah kota,positif
436,ubah kelola sampah,negatif
437,sampah orang buang sampah sembarang,negatif
438,kelola sampah makassar tingkat,negatif
439,senang bank sampah lingkung,positif
440,bank sampah dorong jaga lingkung,negatif
441,sampah mudah masyarakat,positif
442,moga perintah konsisten kelola sampah kota,positif
443,program kelola sampah efektif,positif
444,program edukasi sampah plastik manfaat,negatif
445,regulasi sampah plastik,negatif
446,moga tingkat fasilitas kelola sampah lingkung,negatif
447,sadar masyarakat rendah buang sampah sembarang,positif
448,program kelola sampah efektif,positif
449,sadar masyarakat sampah sosialisasi,positif
450,kelola sampah makassar tingkat,negatif
451,moga tingkat fasilitas kelola sampah lingkung,negatif
452,program edukasi daur ulang masyarakat,netral
453,program kelola sampah makassar bagus bantu,positif
454,sampah orang buang sampah sembarang,negatif
455,moga perintah konsisten kelola sampah kota,positif
456,sampah sungai tindak nyata,negatif
457,sampah sera pinggir jalan ganggu,netral
458,regulasi sampah plastik,negatif
459,tumpu sampah angkut bermingguminggu,netral
460,sampah orang buang sampah sembarang,negatif
461,sampah sungai tindak nyata,negatif
462,sampah orang buang sampah sembarang,negatif
463,ubah kelola sampah,negatif
464,sadar masyarakat sampah sosialisasi,positif
465,program edukasi daur ulang masyarakat,netral
466,kerjasama warga bersih lingkung kuat,positif
467,sampah orang buang sampah sembarang,negatif
468,sadar masyarakat sampah sosialisasi,positif
469,bank sampah dorong jaga lingkung,negatif
470,tingkat kelola sampah kota,negatif
471,moga tingkat fasilitas kelola sampah lingkung,negatif
472,harap kelola sampah,negatif
473,sampah plastik kelola,negatif
474,program edukasi daur ulang masyarakat,netral
475,moga tingkat fasilitas kelola sampah lingkung,negatif
476,sampah orang buang sampah sembarang,negatif
477,sampah plastik kelola,negatif
478,sampah plastik kelola,negatif
479,program kelola sampah efektif,positif
480,sampah plastik kelola,negatif
481,ubah kelola sampah,negatif
482,sampah orang buang sampah sembarang,negatif
483,sadar masyarakat sampah sosialisasi,positif
484,sampah plastik dominasi solusi efektif,positif
485,sampah sera pinggir jalan ganggu,netral
486,senang bank sampah lingkung,positif
487,sadar masyarakat rendah buang sampah sembarang,positif
488,kampanye kelola sampah bagus masyarakat,positif
489,kampanye kelola sampah bagus masyarakat,positif
490,moga tingkat fasilitas kelola sampah lingkung,negatif
491,perintah serius tangan sampah kota,negatif
492,harap kelola sampah,negatif
493,program edukasi daur ulang masyarakat,netral
494,proses angkut sampah lambat bikin bau sedap,positif
495,harap kelola sampah,negatif
496,regulasi sampah plastik,negatif
497,bank sampah langkah edukasi,positif
498,proses angkut sampah lambat bikin bau sedap,positif
499,sampah mudah masyarakat,positif
500,kerjasama warga bersih lingkung kuat,positif
501,sampah sungai tindak nyata,negatif
502,tumpu sampah angkut bermingguminggu,netral
503,tumpu sampah angkut bermingguminggu,netral
504,kelola sampah makassar tingkat,negatif
505,bank sampah langkah edukasi,positif
506,proses angkut sampah lambat bikin bau sedap,positif
507,program edukasi sampah plastik manfaat,negatif
508,program edukasi sampah plastik manfaat,negatif
509,sadar masyarakat rendah buang sampah sembarang,positif
510,sampah plastik dominasi solusi efektif,positif
511,sadar masyarakat sampah sosialisasi,positif
512,program kelola sampah efektif,positif
513,sampah sungai tindak nyata,negatif
514,regulasi sampah plastik,negatif
515,proses angkut sampah lambat bikin bau sedap,positif
516,bank sampah dorong jaga lingkung,negatif
517,kampanye kelola sampah bagus masyarakat,positif
518,sampah plastik hasil,negatif
519,perintah serius tangan sampah kota,negatif
520,sadar masyarakat rendah buang sampah sembarang,positif
521,sosialisasi daur ulang sampah tingkat,negatif
522,harap kelola sampah,negatif
523,program edukasi daur ulang masyarakat,netral
524,senang bank sampah lingkung,positif
525,program edukasi daur ulang masyarakat,netral
526,moga tingkat fasilitas kelola sampah lingkung,negatif
527,sampah plastik hasil,negatif
528,perintah serius tangan sampah kota,negatif
529,senang bank sampah lingkung,positif
530,program edukasi sampah plastik manfaat,negatif
531,perintah serius tangan sampah kota,negatif
532,perintah serius tangan sampah kota,negatif
533,program kelola sampah makassar bagus bantu,positif
534,proses angkut sampah lambat bikin bau sedap,positif
535,sampah plastik hasil,negatif
536,moga perintah konsisten kelola sampah kota,positif
537,sampah plastik kelola,negatif
538,program edukasi daur ulang masyarakat,netral
539,bank sampah langkah edukasi,positif
540,moga tingkat fasilitas kelola sampah lingkung,negatif
541,sampah sera pinggir jalan ganggu,netral
542,tingkat kelola sampah kota,negatif
543,sosialisasi daur ulang sampah tingkat,negatif
544,sampah sungai tindak nyata,negatif
545,regulasi sampah plastik,negatif
546,sampah plastik hasil,negatif
547,perintah serius tangan sampah kota,negatif
548,perintah serius tangan sampah kota,negatif
549,program lingkung wilayah,netral
550,kerjasama warga bersih lingkung kuat,positif
551,program kelola sampah makassar bagus bantu,positif
552,sampah sungai tindak nyata,negatif
553,kerjasama warga bersih lingkung kuat,positif
554,sampah sungai tindak nyata,negatif
555,sampah plastik dominasi solusi efektif,positif
556,kampanye kelola sampah bagus masyarakat,positif
557,program edukasi daur ulang masyarakat,netral
558,moga tingkat fasilitas kelola sampah lingkung,negatif
559,moga perintah konsisten kelola sampah kota,positif
560,program kelola sampah efektif,positif
561,senang bank sampah lingkung,positif
562,sampah mudah masyarakat,positif
563,kerjasama warga bersih lingkung kuat,positif
564,sampah plastik kelola,negatif
565,program edukasi daur ulang masyarakat,netral
566,program edukasi daur ulang masyarakat,netral
567,kelola sampah makassar tingkat,negatif
568,sampah orang buang sampah sembarang,negatif
569,sosialisasi daur ulang sampah tingkat,negatif
570,ubah kelola sampah,negatif
571,harap kelola sampah,negatif
572,proses angkut sampah lambat bikin bau sedap,positif
573,moga tingkat fasilitas kelola sampah lingkung,negatif
574,sadar masyarakat rendah buang sampah sembarang,positif
575,program lingkung wilayah,netral
576,program kelola sampah efektif,positif
577,regulasi sampah plastik,negatif
578,sampah plastik dominasi solusi efektif,positif
579,sampah plastik hasil,negatif
580,sampah plastik kelola,negatif
581,regulasi sampah plastik,negatif
582,program edukasi sampah plastik manfaat,negatif
583,sadar masyarakat sampah sosialisasi,positif
584,sampah sera pinggir jalan ganggu,netral
585,program kelola sampah efektif,positif
586,sosialisasi daur ulang sampah tingkat,negatif
587,kerjasama warga bersih lingkung kuat,positif
588,kerjasama warga bersih lingkung kuat,positif
589,sosialisasi daur ulang sampah tingkat,negatif
590,kelola sampah makassar tingkat,negatif
591,sampah orang buang sampah sembarang,negatif
592,sampah sungai tindak nyata,negatif
593,sampah sera pinggir jalan ganggu,netral
594,senang bank sampah lingkung,positif
595,harap kelola sampah,negatif
596,program kelola sampah makassar bagus bantu,positif
597,sampah orang buang sampah sembarang,negatif
598,program lingkung wilayah,netral
599,moga perintah konsisten kelola sampah kota,positif
600,bank sampah langkah edukasi,positif
601,tumpu sampah angkut bermingguminggu,netral
602,sampah plastik kelola,negatif
603,perintah serius tangan sampah kota,negatif
604,tumpu sampah angkut bermingguminggu,netral
605,sadar masyarakat rendah buang sampah sembarang,positif
606,program edukasi daur ulang masyarakat,netral
607,senang bank sampah lingkung,positif
608,proses angkut sampah lambat bikin bau sedap,positif
609,tumpu sampah angkut bermingguminggu,netral
610,sadar masyarakat sampah sosialisasi,positif
611,sampah plastik dominasi solusi efektif,positif
612,sampah sera pinggir jalan ganggu,netral
613,ubah kelola sampah,negatif
614,proses angkut sampah lambat bikin bau sedap,positif
615,sadar masyarakat rendah buang sampah sembarang,positif
616,kampanye kelola sampah bagus masyarakat,positif
617,moga tingkat fasilitas kelola sampah lingkung,negatif
618,harap kelola sampah,negatif
619,sampah plastik kelola,negatif
620,moga perintah konsisten kelola sampah kota,positif
621,program edukasi sampah plastik manfaat,negatif
622,program kelola sampah makassar bagus bantu,positif
623,kampanye kelola sampah bagus masyarakat,positif
624,perintah serius tangan sampah kota,negatif
625,bank sampah dorong jaga lingkung,negatif
626,bank sampah dorong jaga lingkung,negatif
627,sampah plastik dominasi solusi efektif,positif
628,moga tingkat fasilitas kelola sampah lingkung,negatif
629,sampah sungai tindak nyata,negatif
630,ubah kelola sampah,negatif
631,harap kelola sampah,negatif
632,program edukasi daur ulang masyarakat,netral
633,program edukasi daur ulang masyarakat,netral
634,sampah plastik hasil,negatif
635,sadar masyarakat sampah sosialisasi,positif
636,kelola sampah makassar tingkat,negatif
637,ubah kelola sampah,negatif
638,kampanye kelola sampah bagus masyarakat,positif
639,sampah plastik kelola,negatif
640,sampah sungai tindak nyata,negatif
641,moga perintah konsisten kelola sampah kota,positif
642,regulasi sampah plastik,negatif
643,sampah orang buang sampah sembarang,negatif
644,sadar masyarakat rendah buang sampah sembarang,positif
645,tumpu sampah angkut bermingguminggu,netral
646,sadar masyarakat rendah buang sampah sembarang,positif
647,bank sampah dorong jaga lingkung,negatif
648,kelola sampah makassar tingkat,negatif
649,sadar masyarakat sampah sosialisasi,positif
650,program edukasi sampah plastik manfaat,negatif
651,moga tingkat fasilitas kelola sampah lingkung,negatif
652,harap kelola sampah,negatif
653,sampah mudah masyarakat,positif
654,ubah kelola sampah,negatif
655,program edukasi daur ulang masyarakat,netral
656,program kelola sampah efektif,positif
657,senang bank sampah lingkung,positif
658,kerjasama warga bersih lingkung kuat,positif
659,sadar masyarakat sampah sosialisasi,positif
660,sampah plastik kelola,negatif
661,sampah orang buang sampah sembarang,negatif
662,program kelola sampah efektif,positif
663,sadar masyarakat sampah sosialisasi,positif
664,sampah sera pinggir jalan ganggu,netral
665,program lingkung wilayah,netral
666,program kelola sampah makassar bagus bantu,positif
667,sosialisasi daur ulang sampah tingkat,negatif
668,senang bank sampah lingkung,positif
669,program edukasi sampah plastik manfaat,negatif
670,perintah serius tangan sampah kota,negatif
671,harap kelola sampah,negatif
672,sadar masyarakat sampah sosialisasi,positif
673,tumpu sampah angkut bermingguminggu,netral
674,tumpu sampah angkut bermingguminggu,netral
