,text_1,english,polarity,score
43,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
44,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
45,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
46,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
47,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
48,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
49,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
50,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
51,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
52,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
53,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
54,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
55,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
56,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
57,program edukasi daur ulang masyarakat,community recycling education program,0,netral
58,program kelola sampah efektif,effective waste management program,0.2,positif
59,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
60,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
61,program kelola sampah efektif,effective waste management program,0.2,positif
62,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
63,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
64,harap kelola sampah,please manage waste,-0.2,negatif
65,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
66,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
67,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
68,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
69,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
70,program edukasi daur ulang masyarakat,community recycling education program,0,netral
71,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
72,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
73,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
74,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
75,program edukasi daur ulang masyarakat,community recycling education program,0,netral
76,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
77,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
78,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
79,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
80,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
81,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
82,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
83,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
84,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
85,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
86,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
87,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
88,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
89,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
90,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
91,harap kelola sampah,please manage waste,-0.2,negatif
92,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
93,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
94,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
95,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
96,harap kelola sampah,please manage waste,-0.2,negatif
97,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
98,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
99,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
100,program edukasi daur ulang masyarakat,community recycling education program,0,netral
101,harap kelola sampah,please manage waste,-0.2,negatif
102,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
103,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
104,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
105,program edukasi daur ulang masyarakat,community recycling education program,0,netral
106,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
107,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
108,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
109,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
110,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
111,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
112,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
113,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
114,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
115,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
116,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
117,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
118,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
119,harap kelola sampah,please manage waste,-0.2,negatif
120,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
121,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
122,sampah plastik kelola,manage plastic waste,-0.2,negatif
123,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
124,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
125,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
126,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
127,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
128,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
129,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
130,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
131,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
132,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
133,program kelola sampah efektif,effective waste management program,0.2,positif
134,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
135,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
136,program lingkung wilayah,regional environmental program,0,netral
137,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
138,program edukasi daur ulang masyarakat,community recycling education program,0,netral
139,sampah mudah masyarakat,society's easy trash,0.433333333,positif
140,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
141,sampah mudah masyarakat,society's easy trash,0.433333333,positif
142,sampah mudah masyarakat,society's easy trash,0.433333333,positif
143,sampah plastik kelola,manage plastic waste,-0.2,negatif
144,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
145,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
146,program kelola sampah efektif,effective waste management program,0.2,positif
147,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
148,harap kelola sampah,please manage waste,-0.2,negatif
149,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
150,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
151,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
152,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
153,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
154,harap kelola sampah,please manage waste,-0.2,negatif
155,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
156,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
157,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
158,harap kelola sampah,please manage waste,-0.2,negatif
159,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
160,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
161,sampah plastik kelola,manage plastic waste,-0.2,negatif
162,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
163,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
164,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
165,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
166,program lingkung wilayah,regional environmental program,0,netral
167,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
168,harap kelola sampah,please manage waste,-0.2,negatif
169,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
170,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
171,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
172,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
173,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
174,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
175,harap kelola sampah,please manage waste,-0.2,negatif
176,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
177,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
178,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
179,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
180,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
181,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
182,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
183,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
184,sampah mudah masyarakat,society's easy trash,0.433333333,positif
185,program edukasi daur ulang masyarakat,community recycling education program,0,netral
186,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
187,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
188,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
189,program kelola sampah efektif,effective waste management program,0.2,positif
190,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
191,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
192,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
193,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
194,program kelola sampah efektif,effective waste management program,0.2,positif
195,kelola sampah makassar tingkat,manage waste Makassar level,-0.2,negatif
196,harap kelola sampah,please manage waste,-0.2,negatif
197,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
198,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
199,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
200,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
201,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
202,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
203,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
204,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
205,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
206,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
207,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
208,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
209,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
210,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
211,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
212,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
213,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
214,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
215,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
216,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
217,program lingkung wilayah,regional environmental program,0,netral
218,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
219,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
220,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
221,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
222,sampah plastik kelola,manage plastic waste,-0.2,negatif
223,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
224,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
225,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
226,program edukasi daur ulang masyarakat,community recycling education program,0,netral
227,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
228,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
229,harap kelola sampah,please manage waste,-0.2,negatif
230,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
231,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
232,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
233,program edukasi daur ulang masyarakat,community recycling education program,0,netral
234,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
235,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
236,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
237,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
238,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
239,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
240,harap kelola sampah,please manage waste,-0.2,negatif
241,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
242,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
243,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
244,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
245,program edukasi daur ulang masyarakat,community recycling education program,0,netral
246,program edukasi daur ulang masyarakat,community recycling education program,0,netral
247,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
248,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
249,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
250,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
251,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
252,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
253,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
254,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
255,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
256,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
257,harap kelola sampah,please manage waste,-0.2,negatif
258,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
259,harap kelola sampah,please manage waste,-0.2,negatif
260,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
261,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
262,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
263,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
264,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
265,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
266,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
267,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
268,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
269,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
270,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
271,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
272,program edukasi daur ulang masyarakat,community recycling education program,0,netral
273,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
274,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
275,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
276,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
277,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
278,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
279,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
280,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
281,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
282,harap kelola sampah,please manage waste,-0.2,negatif
283,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
284,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
285,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
286,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
287,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
288,program kelola sampah efektif,effective waste management program,0.2,positif
289,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
290,sampah mudah masyarakat,society's easy trash,0.433333333,positif
291,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
292,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
293,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
294,program kelola sampah efektif,effective waste management program,0.2,positif
295,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
296,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
297,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
298,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
299,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
300,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
301,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
302,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
303,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
304,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
305,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
306,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
307,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
308,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
309,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
310,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
311,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
312,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
313,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
314,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
315,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
316,program lingkung wilayah,regional environmental program,0,netral
317,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
318,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
319,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
320,sampah plastik kelola,manage plastic waste,-0.2,negatif
321,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
322,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
323,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
324,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
325,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
326,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
327,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
328,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
329,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
330,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
331,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
332,sampah mudah masyarakat,society's easy trash,0.433333333,positif
333,bank sampah dorong jaga lingkung,Waste bank encourages environmental protection,-0.2,negatif
334,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
335,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
336,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
337,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
338,kampanye kelola sampah bagus masyarakat,community good waste management campaign,0.25,positif
339,harap kelola sampah,please manage waste,-0.2,negatif
340,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
341,harap kelola sampah,please manage waste,-0.2,negatif
342,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
343,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
344,harap kelola sampah,please manage waste,-0.2,negatif
345,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
346,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
347,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
348,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
349,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
350,program lingkung wilayah,regional environmental program,0,netral
351,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
352,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
353,ubah kelola sampah masalah,change the waste management problem,-0.2,negatif
354,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
355,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
356,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
357,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
358,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
359,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
360,sosialisasi daur ulang sampah tingkat,socialization of level waste recycling,-0.2,negatif
361,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
362,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
363,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
364,kurang sampah plastik hasil,less plastic waste results,-0.183333333,negatif
365,proses angkut sampah lambat bikin bau sedap,the process of transporting waste is slow and makes it smell delicious,0.166666667,positif
366,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
367,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
368,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
369,sampah plastik kelola,manage plastic waste,-0.2,negatif
370,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
