Date,Author,Text
10/11/2021 9:52,susipudjiastuti,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 9:51,visitortwt1,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:51,chef_hendrian,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:49,DsSupriyady,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:49,dambaan_,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 9:48,Hariri48932987,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 9:48,angetmendoane,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 9:48,theowl168,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:47,ademaulanawz,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:45,cr0wnmo0i,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:41,PutraWadapi,"Dengan adanya bank sampah, kami merasa lebih terdorong untuk menjaga lingkungan."
10/11/2021 9:41,achelloise,"Dengan adanya bank sampah, kami merasa lebih terdorong untuk menjaga lingkungan."
10/11/2021 9:40,Bansul2,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 9:40,maximus_syukur,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 9:40,wafarell,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 9:40,Pamuji66398358,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 9:40,AnwarKhoirull,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 9:39,achmad_taher,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:38,ummychasan,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 9:37,adamlbs12,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 9:37,susan1612,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 9:37,SUZY2NiX,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 9:37,wasta_abdi,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 9:35,ROSE2NiX,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 9:35,fernand10747737,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:35,ade_item88,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 9:35,detikcom,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 9:35,karindys_,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 9:34,PutraWadapi,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 9:34,tunnov,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:33,DEAN2NiX,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:33,lolagiproject,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 9:32,dontmakeitbads,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 9:32,tinyjhh,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:32,dorseysilalahi,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:31,Sihombin4Muller,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 9:31,denni_sauya,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 9:31,MytheSisyphus,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 9:31,PartaiSocmed,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:31,Dionbonjovi181,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 9:30,wooshipsan,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 9:30,SoniMsi07,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 9:30,KEZIAAM0UR,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:30,GED0NG,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 9:30,DemokratKupang,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:29,tunnov,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 9:29,okezonenews,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 9:26,JPatalatu,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 9:26,detikfinance,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 9:26,Konfrontasi_co,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 9:23,jabrik88322887,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 9:23,NyiAgeng_Jogja,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 9:23,PilahPilihPilah,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:22,gadisjava_,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 9:22,amy74950150,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:22,mikhael_ruby,Terlalu banyak sampah plastik yang tidak dikelola dengan baik.
10/11/2021 9:22,MangUcuy,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 9:21,byebyefever0,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:18,aditutte,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 9:17,KelianBanjar_GK,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 9:16,militannkri01,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:16,NyiAgeng_Jogja,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:15,dickyrevolution,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 9:14,alpurkat,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:14,harman_abu,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 9:13,EfanSteph,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 9:13,2HiasanLangit,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 9:13,retnosetyow4t,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 9:13,salendra18,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 9:11,kicepkicep,Masih perlu lebih banyak program lingkungan di berbagai wilayah.
10/11/2021 9:11,Raditia98030356,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 9:10,EfanSteph,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:10,kenzie_sr,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 9:09,retnosetyow4t,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 9:09,saz_azis,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 9:08,MamaLegend1,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 9:07,PdGroboganOk,Terlalu banyak sampah plastik yang tidak dikelola dengan baik.
10/11/2021 9:06,miixfullsun,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 9:06,hariyadiagung18,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 9:03,selebcuit,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 9:02,jeonghanive,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:02,napakauliatliat,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:01,play_tomorrow,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 9:00,ecomshitposting,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 9:00,matamilenialID,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 8:59,MurtadhaOne,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 8:59,shabrinamarsya,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 8:57,cahcopek,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:56,myalfian88,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 8:56,ICHANKsrg2,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 8:55,ibach77,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:54,GHOSTINGIN_DONG,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:54,AlifCena,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 8:54,FauzhieImma,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 8:52,chikrini,Terlalu banyak sampah plastik yang tidak dikelola dengan baik.
10/11/2021 8:52,WY40H_BigWiN29,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 8:52,PolsekBatuwarn3,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 8:51,BakomstraTop,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 8:47,LisaKnows3,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 8:47,risyandesrani,Masih perlu lebih banyak program lingkungan di berbagai wilayah.
10/11/2021 8:47,EnChins,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 8:47,ApaansiRiego,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:46,ApaansiRiego,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 8:46,detikfinance,"Dengan adanya bank sampah, kami merasa lebih terdorong untuk menjaga lingkungan."
10/11/2021 8:45,kochengable,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 8:44,ikanzupang,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 8:44,roses_man,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 8:44,L_hakiym,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 8:44,demokratsulsel,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:43,Banjarnegara_PD,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 8:43,poetra1804,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 8:43,oktoberkahyuuu,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:43,dim_alit,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 8:42,June_dya77,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:42,cantcoet,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 8:41,evalez_fr,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 8:41,ZoneVenomWar,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 8:41,dyrman091,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 8:41,TehManisPanas4,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 8:40,ZoneVenomWar,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 8:39,ana_bigwins,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 8:39,UjKomar,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 8:39,rk_iwan,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 8:38,JokowiPemuja,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 8:38,MurtadhaOne1,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 8:38,bidadarikocakkk,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 8:38,selemburz,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:38,rakyat_banten,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 8:36,dickyrevolution,Pengelolaan sampah di Makassar masih bisa ditingkatkan lagi.
10/11/2021 8:36,jkswishes,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:36,666Megalomen,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 8:35,mr_wan79,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 8:35,ekojhones77,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 8:34,telkomselpeler,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 8:34,geloraco,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 8:33,E45EOJIN,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 8:31,kofegeek,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 8:30,skrypap,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:30,SyukurAyub,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 8:30,666Megalomen,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 8:28,Dipanegara_,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 8:28,Landslider3,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 8:28,fizzy_aditya,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 8:25,PolsekWonogiri,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 8:25,btc_idn,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 8:23,irmayanirachman,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 8:22,reviel08,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 8:22,pejuangnkri77,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 8:20,PatiDemokrat,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:20,rielm_,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 8:20,Ahmadnurf_,Masih perlu lebih banyak program lingkungan di berbagai wilayah.
10/11/2021 8:18,BakomstraTop,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:18,E19SICHENG,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 8:18,mustalafin,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 8:17,jeonzzs,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:17,jaehyyunnim,Terlalu banyak sampah plastik yang tidak dikelola dengan baik.
10/11/2021 8:16,telkomselpeler,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 8:15,jawapos,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:14,E27HAJOON,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 8:14,ENandyra,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 8:14,E12KARIINA,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 8:14,E02HI,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 8:14,E06TSAI,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:14,PujaKus11405675,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 8:14,E01YUCHAN,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:13,Ketoprak_solo,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 8:13,AmericanoZel,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 8:12,telkomselpeler,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 8:12,RiotamaDidik,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 8:12,yedi_kurniahadi,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 8:12,Jelajah513,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 8:10,yorpringles,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:10,PatiDemokrat,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 8:10,anomwinatha,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 8:10,PennhurtsAsylum,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 8:10,humasjatipurno1,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 8:08,Haris96368298,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 8:05,layardibalik_,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 8:04,b00000000o,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 8:04,DewoxKonio,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 8:03,coldreamy,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 8:03,99garislucu,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 8:03,psychoddle,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 8:02,katarsya,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 8:02,Kemasrafly,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 8:02,abdulrtah,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 8:02,gindoduri,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 8:02,gindoduri,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 8:01,AL_FAQIRDanAWAM,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 8:00,pinkluvcattt,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 7:59,meiokage,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 7:59,Awan56774086,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 7:58,arizal_as,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 7:56,DeaLova_Lagi,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 7:56,amurka_bali,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 7:55,anton_harjo,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 7:54,mediaindonesia,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 7:53,FirmRei,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 7:52,asapsisha,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 7:52,SiangRemang,Sosialisasi tentang daur ulang sampah perlu ditingkatkan.
10/11/2021 7:50,djonprasetyanto,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 7:50,fachniadin,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 7:49,tubagussalim,Pengurangan sampah plastik mulai terlihat hasilnya.
10/11/2021 7:48,iklimsedang,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 7:47,queenasfxk,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 7:47,WongIndonesiaOK,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 7:46,salshira,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 7:45,pd_kabtangerang,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 7:45,SukarDi94610438,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 7:42,TogaHQ,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 7:42,republikaonline,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 7:41,FirmRei,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 7:40,Ill_Tsar,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 7:40,RuslanGasang,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
